ccle	efo
NCIH889_LUNG	EFO_0006697
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0001221
NCIN87_STOMACH	EFO_0002841
NIHOVCAR3_OVARY	EFO_0003061
NTERA2CLD1_TESTIS	EFO_0005236
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006700
NUGC2_STOMACH	EFO_0006701
NUGC3_STOMACH	EFO_0006702
NUGC4_STOMACH	EFO_0006703
OAW28_OVARY	EFO_0006704
OAW42_OVARY	EFO_0006705
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006706
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006289
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006707
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006708
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006709
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006710
OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006711
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006712
OCUM1_STOMACH	EFO_0006714
OE19_OESOPHAGUS	EFO_0002308
OE21_OESOPHAGUS	EFO_0002309
OE33_OESOPHAGUS	EFO_0002310
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006716
OUMS23_LARGE_INTESTINE	EFO_0006717
OV56_OVARY	EFO_0006458
OV7_OVARY	EFO_0006459
OV90_OVARY	EFO_0002311
OVCA420_OVARY	EFO_0006720
OVCA433_OVARY	EFO_0006723
OVCAR4_OVARY	EFO_0005442
OVCAR5_OVARY	EFO_0005443
OVCAR8_OVARY	EFO_0005444
OVISE_OVARY	EFO_0006724
OVKATE_OVARY	EFO_0006725
OVMANA_OVARY	EFO_0006726
OVSAHO_OVARY	EFO_0006727
OVTOKO_OVARY	EFO_0006728
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002312
PA1_OVARY	EFO_0006465
PANC0203_PANCREAS	EFO_0006466
PANC0327_PANCREAS	EFO_0006467
PANC0403_PANCREAS	EFO_0006468
PANC0504_PANCREAS	EFO_0006469
PANC0813_PANCREAS	EFO_0006470
PANC1_PANCREAS	EFO_0002713
PATU8902_PANCREAS	EFO_0006729
PATU8988S_PANCREAS	EFO_0006730
PATU8988T_PANCREAS	EFO_0005713
PC14_LUNG	EFO_0002844
PC3_PROSTATE	EFO_0002074
PC9_LUNG	EFO_0002847
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	EFO_0006733
PEO1_OVARY	EFO_0005445
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006472
PFSK1_CENTRAL_NERVOUS_SYSTEM	EFO_0005234
PK45H_PANCREAS	EFO_0006734
PK59_PANCREAS	EFO_0006736
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006473
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002313
PLCPRF5_LIVER	EFO_0006291
PSN1_PANCREAS	EFO_0006739
QGP1_PANCREAS	EFO_0006741
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002324
